,S2AQ21A,S1Q2A,S1Q2B,S1Q2C1,S1Q2C3,S1Q2C4,S1Q2E,S1Q6A
35435,7,1,2, , , , ,1
35436,9,1,1, , , , ,8
35437,5,1,1, , , , ,12
35438,5,1,1, , , , ,14
35439,2,1,1, , , , ,12
35440,99,1,1, , , , ,12
35441,10,1,2, , , , ,9
35442, ,1,1, , , , ,10
35443, ,1,1, , , , ,8
35444,1,1,1, , , , ,7
35445,7,1,1, , , , ,13
35446,7,1,1, , , , ,7
35447,4,1,1, , , , ,14
35448,1,1,1, , , ,15,10
35449,6,1,1, , , , ,12
35450,3,1,1, , , , ,14
35451,8,1,2, , , , ,10
35452,6,1,1, , , , ,8
35453, ,1,2, , , , ,7
35454,5,1,2, , , , ,4
35455,2,1,1, , , , ,4
35456,2,1,1, , , , ,13
35457,2,1,1, , , , ,8
35458,10,1,1, , , , ,8
35459,10,1,2, , , , ,7
35460,4,1,1, , , ,13,12
35461,6,1,1, , , ,99,10
35462,4,1,1, , , , ,14
35463,4,1,1, , , , ,10
35464,6,1,1, , , ,8,11
35465,1,1,1, , , , ,11
35466,4,1,1, , , , ,14
35467, ,1,1, , , , ,8
35468, ,1,1, , , , ,4
35469, ,1,1, , , , ,14
35470, ,1,1, , , , ,4
35471,10,1,1, , , ,2,7
35472, ,1,1, , , ,7,8
35473,5,1,1, , , , ,7
35474,6,1,1, , , , ,12
35475, ,1,1, , , , ,4
35476,4,1,1, , , , ,11
35477,5,1,1, , , , ,11
35478,10,1,1, , , , ,8
35479,5,1,1, , , , ,7
35480,10,1,1, , , , ,7
35481,5,1,2, , , , ,14
35482, ,1,1, , , , ,12
35483,4,1,1, , , ,0,10
35484,2,1,1, , , , ,14
35485,4,1,1, , , , ,14
35486,10,1,1, , , , ,3
35487,3,1,1, , , ,10,12
35488,2,1,1, , , , ,14
35489,7,1,1, , , ,17,12
35490, ,1,1, , , , ,9
35491,5,1,1, , , , ,12
35492,5,1,1, , , , ,4
35493, ,1,1, , , , ,8
35494,5,1,1, , , ,11,12
35495,4,1,1, , , , ,8
35496,10,1,1, , , , ,8
35497,7,1,1, , , , ,11
35498,99,1,1, , , , ,8
35499,10,1,1, , , , ,13
35500,2,1,2, , , , ,7
35501,8,1,1, , , ,10,7
35502,10,2, ,2,2,2, ,10
35503, ,1,1, , , , ,1
35504, ,1,1, , , , ,8
35505,10,1,1, , , , ,10
35506, ,1,2, , , , ,2
35507,8,1,1, , , , ,14
35508, ,1,1, , , , ,7
35509,3,1,1, , , , ,12
35510, ,1,1, , , , ,10
35511,7,1,1, , , ,10,7
35512,4,1,1, , , ,99,10
35513,2,1,1, , , ,0,7
35514,10,1,1, , , , ,8
35515,8,1,1, , , , ,7
35516,6,1,1, , , , ,8
35517,7,1,1, , , , ,14
35518,10,1,1, , , , ,14
35519,2,1,1, , , , ,12
35520,7,1,1, , , , ,12
35521,5,1,1, , , , ,10
35522, ,1,1, , , , ,7
35523,9,1,1, , , , ,8
35524,10,1,1, , , , ,8
35525,1,1,1, , , , ,7
35526,10,1,1, , , , ,8
35527,7,1,1, , , ,9,10
35528,4,1,1, , , , ,12
35529,1,1,1, , , , ,10
35530,6,1,1, , , , ,11
35531, ,1,1, , , , ,3
35532,3,1,1, , , , ,8
35533,5,1,1, , , , ,12
35534,2,1,1, , , , ,8
35535,1,1,2, , , , ,8
35536,99,1,1, , , , ,12
35537,4,1,1, , , , ,12
35538,7,1,1, , , , ,11
35539,1,1,1, , , , ,10
35540,10,1,1, , , , ,10
35541,9,1,1, , , ,3,6
35542,2,1,1, , , ,13,10
35543,1,1,1, , , , ,10
35544,99,1,1, , , , ,14
35545, ,1,1, , , ,2,8
35546,1,1,1, , , , ,7
35547, ,1,1, , , , ,8
35548,6,1,1, , , , ,10
35549, ,1,2, , , , ,10
35550,6,1,1, , , , ,10
35551,6,1,1, , , ,8,10
35552, ,1,1, , , ,14,7
35553,8,1,1, , , , ,12
35554,5,1,1, , , , ,11
35555, ,1,1, , , , ,10
35556,1,1,1, , , , ,12
35557,3,1,1, , , , ,10
35558,4,1,1, , , , ,12
35559,6,2, ,1,2,2, ,8
35560,4,1,1, , , , ,14
35561,10,1,2, , , , ,11
35562,1,1,1, , , , ,9
35563, ,1,1, , , , ,8
35564,5,1,2, , , , ,10
35565,6,1,1, , , , ,14
35566, ,1,1, , , , ,8
35567, ,1,1, , , , ,5
35568,1,1,1, , , , ,14
35569,10,1,1, , , , ,6
35570,9,1,1, , , ,6,9
35571,5,1,1, , , , ,8
35572,1,1,1, , , , ,10
35573,6,1,1, , , , ,11
35574,5,1,2, , , , ,8
35575,1,1,1, , , , ,6
35576,5,1,1, , , , ,4
35577,2,1,1, , , , ,8
35578,3,1,1, , , , ,9
35579,10,1,1, , , , ,13
35580,1,1,1, , , ,14,8
35581,3,1,1, , , , ,8
35582,9,1,1, , , ,17,12
35583,9,1,2, , , , ,7
35584,8,1,1, , , , ,10
35585,2,1,1, , , , ,12
35586,4,1,1, , , , ,12
35587, ,1,2, , , , ,8
35588,9,1,1, , , , ,10
35589,10,1,1, , , , ,9
35590,1,1,2, , , , ,5
35591,1,1,1, , , ,8,9
35592,1,1,1, , , , ,10
35593,1,1,2, , , , ,7
35594, ,1,2, , , , ,7
35595,1,1,1, , , , ,12
35596,3,1,2, , , , ,8
35597,8,1,1, , , ,13,12
35598,9,1,1, , , ,99,10
35599, ,1,1, , , , ,7
35600,10,1,2, , , , ,8
35601,7,1,1, , , , ,10
35602,9,1,1, , , , ,7
35603,4,1,1, , , , ,8
35604,10,1,1, , , , ,13
35605,10,1,2, , , , ,11
35606,5,1,2, , , , ,8
35607,6,1,1, , , , ,11
35608, ,1,2, , , , ,8
35609,5,1,1, , , , ,10
35610,10,1,1, , , , ,14
35611,6,1,1, , , , ,11
35612,7,1,1, , , , ,12
35613, ,1,1, , , , ,8
35614,3,1,1, , , , ,12
35615, ,1,1, , , , ,8
35616,3,1,1, , , , ,8
35617,6,1,1, , , , ,12
35618,5,1,1, , , , ,12
35619,3,1,1, , , , ,8
35620, ,1,1, , , , ,10
35621, ,1,1, , , , ,8
35622,9,1,1, , , , ,14
35623,2,1,1, , , , ,8
35624,9,1,1, , , , ,14
35625,4,1,2, , , , ,13
35626,2,1,1, , , ,11,14
35627, ,1,1, , , , ,7
35628,1,1,1, , , ,10,14
35629,1,1,1, , , , ,12
35630, ,1,1, , , , ,8
35631,5,1,1, , , , ,11
35632,1,1,1, , , , ,10
35633,5,1,1, , , ,4,9
35634,7,1,1, , , , ,11
35635,8,1,2, , , , ,12
35636,9,1,1, , , , ,10
35637,4,1,1, , , , ,7
35638,5,1,1, , , , ,11
35639,5,1,1, , , ,3,9
35640, ,1,1, , , , ,8
35641,6,1,1, , , ,16,10
35642,10,1,1, , , , ,8
35643,1,1,1, , , , ,6
35644,7,1,1, , , , ,10
35645,2,1,1, , , , ,10
35646,9,1,1, , , , ,12
35647,10,1,1, , , , ,3
35648,9,1,1, , , , ,9
35649,7,1,1, , , , ,14
35650,1,1,1, , , , ,13
35651,3,1,1, , , , ,10
35652,10,1,1, , , , ,8
35653,4,1,1, , , , ,12
35654,5,1,1, , , , ,12
35655,9,1,1, , , ,4,8
35656,10,1,1, , , , ,8
35657,5,9, ,9,9,9, ,12
35658, ,1,1, , , , ,9
35659,1,1,1, , , , ,11
35660,3,1,1, , , , ,12
35661, ,1,1, , , , ,10
35662,1,1,2, , , , ,12
35663,5,1,1, , , , ,8
35664, ,1,1, , , ,99,5
35665,4,1,1, , , , ,8
35666,7,1,1, , , , ,1
35667,4,1,1, , , , ,8
35668, ,1,1, , , , ,3
35669, ,2, ,2,2,2, ,12
35670, ,1,1, , , , ,10
35671,7,1,1, , , , ,12
35672,3,1,1, , , , ,8
35673,10,1,1, , , , ,13
35674, ,1,1, , , , ,8
35675,4,1,1, , , , ,11
35676,8,1,2, , , , ,7
35677, ,1,1, , , ,0,7
35678,2,1,1, , , , ,12
35679,7,1,1, , , , ,4
35680,1,1,1, , , , ,13
35681, ,9, ,9,9,9, ,8
35682, ,2, ,2,2,2, ,4
35683, ,1,1, , , , ,2
35684, ,1,1, , , , ,13
35685,1,1,1, , , , ,11
35686,7,1,1, , , ,0,10
35687,4,1,1, , , ,5,8
35688,4,1,1, , , ,3,12
35689,10,1,1, , , , ,7
35690,4,1,1, , , ,6,8
35691,1,1,1, , , ,3,8
35692,10,1,1, , , ,14,9
35693,4,1,1, , , , ,14
35694,7,1,1, , , , ,4
35695,7,1,1, , , ,1,7
35696, ,1,2, , , , ,8
35697, ,1,1, , , ,4,8
35698, ,1,1, , , , ,3
35699,4,1,2, , , , ,11
35700, ,1,1, , , , ,7
35701,9,1,1, , , , ,12
35702,7,1,1, , , , ,7
35703,1,1,1, , , , ,14
35704,4,1,1, , , , ,7
35705,6,1,1, , , , ,12
35706, ,1,1, , , , ,8
35707,10,1,1, , , , ,14
35708,1,1,1, , , , ,8
35709,10,1,1, , , , ,8
35710,5,1,1, , , ,3,10
35711, ,1,2, , , , ,9
35712, ,1,1, , , , ,10
35713,9,1,1, , , , ,8
35714, ,1,1, , , , ,10
35715, ,1,1, , , , ,14
35716, ,1,1, , , , ,7
35717,4,1,2, , , , ,8
35718,9,1,1, , , , ,14
35719,9,1,1, , , ,13,11
35720, ,1,1, , , , ,13
35721,6,1,1, , , , ,11
35722,10,1,1, , , , ,9
35723,3,1,1, , , , ,13
35724,10,1,1, , , , ,4
35725,5,1,2, , , , ,10
35726,5,2, ,9,9,9, ,10
35727,6,1,1, , , , ,10
35728, ,1,1, , , , ,14
35729, ,1,1, , , , ,12
35730,4,1,1, , , , ,14
35731,2,1,1, , , , ,8
35732,8,1,1, , , , ,10
35733,2,1,2, , , , ,9
35734,2,1,1, , , ,10,8
35735,7,2, ,1,2,2, ,7
35736,9,1,1, , , ,99,10
35737,1,1,1, , , ,4,10
35738,4,1,2, , , , ,8
35739,3,1,1, , , , ,14
35740,5,1,1, , , , ,11
35741,10,1,1, , , , ,8
35742, ,2, ,2,2,2, ,7
35743, ,1,1, , , ,7,7
35744,10,1,1, , , , ,10
35745,99,2, ,2,2,2, ,8
35746,1,2, ,2,1,2, ,8
35747,3,1,2, , , , ,10
35748,4,1,1, , , , ,11
35749,3,1,2, , , , ,12
35750,2,1,1, , , ,0,13
35751,4,1,1, , , , ,11
35752,2,1,2, , , , ,7
35753,10,1,1, , , ,99,7
35754, ,1,1, , , , ,8
35755,9,1,1, , , , ,9
35756, ,1,1, , , , ,14
35757,1,1,1, , , ,4,12
35758,3,1,1, , , , ,12
35759,2,1,1, , , ,15,13
35760,5,1,1, , , , ,10
35761,10,1,1, , , ,11,7
35762,2,1,1, , , , ,12
35763,5,1,1, , , , ,8
35764,7,1,1, , , , ,12
35765,5,1,2, , , , ,11
35766,6,1,1, , , , ,13
35767,4,1,1, , , ,5,8
35768, ,1,1, , , , ,8
35769,7,1,1, , , ,1,6
35770,3,1,1, , , , ,14
35771,4,1,1, , , , ,14
35772,10,1,1, , , ,17,11
35773,2,1,1, , , , ,14
35774,4,1,2, , , , ,10
35775,4,1,1, , , ,2,7
35776,2,1,1, , , , ,12
35777, ,9, ,9,9,9, ,14
35778,4,1,1, , , , ,11
35779,9,1,1, , , , ,8
35780,3,1,1, , , , ,14
35781,2,1,1, , , , ,8
35782,9,1,1, , , ,10,10
35783,3,1,2, , , , ,10
35784,4,1,1, , , , ,12
35785, ,1,1, , , ,3,8
35786, ,1,1, , , , ,7
35787, ,1,1, , , ,7,8
35788,4,1,2, , , , ,10
35789, ,1,1, , , ,10,6
35790,3,1,1, , , ,14,10
35791, ,1,1, , , , ,6
35792,5,1,1, , , , ,14
35793, ,2, ,2,2,2, ,9
35794,10,1,1, , , , ,12
35795,5,1,1, , , , ,11
35796,5,1,1, , , , ,11
35797,9,1,2, , , , ,4
35798, ,1,1, , , , ,8
35799,1,1,1, , , ,14,14
35800,5,1,1, , , , ,9
35801,10,1,2, , , , ,10
35802,3,1,1, , , , ,12
35803,6,1,1, , , , ,12
35804,2,1,1, , , , ,10
35805,5,1,1, , , , ,10
35806,1,1,1, , , , ,10
35807,2,1,2, , , , ,8
35808,9,1,1, , , , ,4
35809,1,1,1, , , , ,8
35810,9,1,1, , , , ,8
35811,3,1,1, , , , ,10
35812,6,1,1, , , , ,14
35813,5,1,1, , , , ,13
35814, ,1,1, , , , ,10
35815,3,1,1, , , , ,11
35816,1,1,1, , , , ,12
35817,1,1,2, , , , ,8
35818,8,1,1, , , , ,12
35819,10,1,1, , , , ,8
35820,4,1,9, , , , ,9
35821,3,1,1, , , ,6,10
35822,3,1,1, , , , ,8
35823,1,1,1, , , , ,11
35824,2,1,1, , , , ,3
35825,10,2, ,2,2,2, ,9
35826, ,1,1, , , , ,10
35827, ,1,2, , , , ,13
35828,10,1,1, , , , ,14
35829,4,1,1, , , , ,10
35830,9,1,1, , , , ,8
35831, ,1,1, , , , ,10
35832,5,1,1, , , , ,14
35833,10,1,1, , , ,13,7
35834,1,1,1, , , , ,12
35835,2,1,1, , , , ,13
35836, ,1,1, , , , ,1
35837,1,1,2, , , , ,12
35838,10,1,1, , , ,5,11
35839, ,9, ,9,9,9, ,12
35840,1,1,2, , , , ,10
35841,9,1,1, , , , ,8
35842,1,1,1, , , , ,14
35843,7,1,1, , , , ,12
35844,10,1,1, , , ,99,7
35845,6,1,1, , , ,3,14
35846,7,1,1, , , , ,8
35847,2,1,1, , , ,16,5
35848,10,1,1, , , ,10,8
35849,5,1,1, , , , ,13
35850, ,1,1, , , , ,13
35851,1,1,1, , , , ,12
35852,4,1,1, , , , ,12
35853,3,1,1, , , , ,12
35854, ,1,1, , , , ,11
35855,10,1,1, , , , ,8
35856,9,1,1, , , , ,12
35857, ,1,2, , , , ,5
35858,5,1,1, , , ,2,11
35859, ,1,1, , , , ,4
35860, ,2, ,2,2,2, ,8
35861,7,1,1, , , , ,12
35862,4,1,1, , , , ,10
35863, ,1,1, , , , ,13
35864,8,1,1, , , , ,7
35865,1,1,1, , , , ,11
35866,10,1,2, , , , ,10
35867,3,1,2, , , , ,10
35868,10,1,1, , , , ,8
35869, ,1,1, , , , ,10
35870,10,2, ,2,2,2, ,5
35871,1,1,1, , , , ,12
35872,8,1,1, , , , ,7
35873,3,1,1, , , ,15,14
35874, ,1,1, , , , ,10
35875,5,1,1, , , ,7,8
35876, ,2, ,2,2,2, ,1
35877,10,1,2, , , , ,7
35878, ,1,1, , , , ,12
35879,4,1,1, , , , ,7
35880,4,1,1, , , , ,10
35881, ,9, ,9,9,9, ,4
35882,4,1,1, , , , ,11
35883, ,1,1, , , , ,10
35884,4,1,1, , , , ,10
35885,1,1,1, , , , ,12
35886, ,1,1, , , ,15,10
35887,9,1,1, , , , ,4
35888,7,1,1, , , , ,7
35889,3,1,1, , , , ,14
35890,4,1,1, , , , ,10
35891,9,1,1, , , , ,10
35892, ,1,1, , , , ,4
35893,10,1,2, , , , ,8
35894,7,1,1, , , , ,12
35895,5,1,1, , , , ,4
35896,6,1,1, , , , ,10
35897,6,1,1, , , , ,10
35898,10,1,1, , , , ,11
35899,10,1,1, , , , ,11
35900,10,1,1, , , , ,10
35901,5,1,1, , , , ,12
35902,1,1,2, , , , ,8
35903, ,1,1, , , , ,10
35904, ,1,1, , , , ,10
35905, ,1,1, , , , ,7
35906,5,1,1, , , , ,11
35907,4,1,1, , , , ,8
35908, ,1,1, , , , ,2
35909, ,1,1, , , , ,10
35910,5,1,1, , , , ,14
35911,6,1,1, , , , ,8
35912,1,1,1, , , ,2,10
35913, ,1,1, , , , ,8
35914,4,1,1, , , , ,10
35915,99,1,1, , , , ,8
35916,1,1,1, , , , ,13
35917,10,1,1, , , , ,10
35918,5,1,1, , , ,1,8
35919,5,1,1, , , , ,10
35920,3,2, ,1,2,1, ,10
35921,5,1,1, , , , ,13
35922,6,1,1, , , , ,8
35923,9,1,1, , , ,5,13
35924,6,1,1, , , , ,10
35925, ,1,1, , , , ,8
35926,3,1,1, , , ,9,9
35927,7,1,1, , , , ,8
35928,10,1,1, , , , ,5
35929,4,2, ,2,2,2, ,6
35930,8,1,1, , , , ,12
35931,3,1,1, , , ,7,7
35932,10,2, ,2,2,2, ,7
35933,9,1,1, , , , ,11
35934,3,1,1, , , , ,14
35935, ,1,1, , , , ,7
35936, ,1,1, , , , ,1
35937,10,1,1, , , , ,11
35938,4,1,1, , , , ,10
35939,6,1,1, , , ,3,12
35940,4,1,2, , , , ,9
35941,10,1,1, , , , ,10
35942,10,1,1, , , ,11,10
35943,6,1,1, , , , ,8
35944,1,1,1, , , , ,4
35945,5,1,1, , , , ,12
35946, ,1,1, , , , ,5
35947, ,2, ,2,2,2, ,8
35948,7,9, ,9,9,9, ,7
35949,10,1,1, , , , ,10
35950,7,1,1, , , , ,8
35951,2,1,1, , , , ,14
35952,10,1,1, , , , ,8
35953, ,1,1, , , , ,14
35954,3,1,1, , , ,11,10
35955,3,1,2, , , , ,9
35956,3,2, ,2,2,2, ,10
35957,7,1,1, , , , ,10
35958,9,1,2, , , , ,14
35959,1,1,1, , , ,99,10
35960,5,1,1, , , , ,8
35961,5,1,1, , , , ,12
35962, ,1,1, , , , ,7
35963,9,1,1, , , ,10,10
35964,4,1,1, , , , ,8
35965,6,1,1, , , , ,10
35966,4,1,1, , , , ,10
35967,7,1,1, , , ,4,10
35968,4,1,1, , , , ,8
35969,10,1,1, , , , ,4
35970,10,1,1, , , , ,8
35971, ,1,1, , , , ,9
35972,10,1,1, , , ,12,10
35973,10,1,1, , , , ,14
35974, ,1,1, , , , ,11
35975,1,1,1, , , , ,8
35976,8,1,1, , , , ,12
35977,3,1,1, , , , ,12
35978,1,1,1, , , , ,14
35979, ,1,2, , , , ,8
35980,4,1,1, , , , ,10
35981, ,1,1, , , , ,11
35982, ,1,1, , , , ,8
35983,10,1,1, , , , ,8
35984,5,1,1, , , , ,6
35985, ,1,1, , , , ,7
35986,8,1,1, , , , ,10
35987,4,1,1, , , , ,8
35988, ,1,1, , , , ,10
35989,6,1,1, , , , ,11
35990, ,1,1, , , , ,10
35991,1,1,1, , , , ,8
35992,4,1,2, , , , ,8
35993,3,1,1, , , , ,11
35994,10,1,1, , , , ,8
35995,3,1,1, , , , ,13
35996,99,1,1, , , , ,10
35997,6,1,1, , , , ,8
35998,3,1,1, , , , ,12
35999,1,1,2, , , , ,7
36000,5,1,1, , , , ,7
36001,3,1,1, , , , ,10
36002,8,1,2, , , , ,14
36003,2,1,1, , , , ,11
36004,3,1,1, , , , ,8
36005,3,1,1, , , ,16,10
36006,10,1,1, , , , ,8
36007,1,1,1, , , , ,8
36008,1,1,1, , , , ,8
36009,7,1,1, , , , ,8
36010,1,1,1, , , , ,14
36011,3,1,1, , , , ,10
36012,8,1,1, , , ,1,8
36013, ,1,1, , , , ,8
36014,8,1,1, , , , ,12
36015, ,1,2, , , , ,7
36016,5,1,1, , , , ,14
36017,3,1,1, , , , ,8
36018, ,1,2, , , , ,11
36019, ,1,1, , , , ,8
36020,6,1,1, , , , ,14
36021,1,1,1, , , , ,12
36022,3,1,1, , , , ,14
36023,3,1,1, , , , ,8
36024,1,1,2, , , , ,7
36025,1,1,2, , , , ,10
36026,99,1,2, , , , ,12
36027,10,1,1, , , , ,12
36028,6,1,1, , , , ,14
36029,5,1,1, , , , ,8
36030,7,1,1, , , , ,10
36031,4,1,2, , , , ,11
36032, ,1,1, , , , ,10
36033,1,1,1, , , , ,10
36034,10,1,2, , , , ,12
36035,5,1,1, , , ,3,10
36036,7,1,1, , , , ,8
36037,10,2, ,2,2,2, ,11
36038,3,1,1, , , , ,14
36039,7,1,1, , , , ,13
36040, ,1,1, , , , ,7
36041,4,1,1, , , , ,10
36042,6,1,1, , , , ,8
36043,4,2, ,1,2,2, ,13
36044,5,1,1, , , ,14,7
36045, ,1,1, , , , ,10
36046,7,1,2, , , , ,8
36047,9,1,1, , , , ,8
36048, ,1,1, , , ,10,14
36049,4,1,1, , , , ,11
36050,5,1,1, , , ,7,11
36051,7,1,1, , , , ,11
36052, ,1,1, , , ,9,10
36053, ,1,1, , , , ,13
36054,10,1,1, , , , ,10
36055,3,1,1, , , ,2,12
36056,4,1,1, , , , ,12
36057, ,1,1, , , , ,8
36058,7,1,1, , , , ,7
36059,7,1,1, , , ,12,9
36060,9,1,1, , , , ,8
36061, ,1,1, , , , ,8
36062,4,1,1, , , , ,8
36063,3,1,1, , , , ,8
36064,2,1,1, , , , ,12
36065,5,2, ,2,2,2, ,5
36066,5,2, ,2,2,2, ,7
36067,5,1,1, , , , ,13
36068,4,1,1, , , ,16,8
36069,6,1,1, , , , ,12
36070,10,1,1, , , , ,8
36071,6,1,2, , , , ,8
36072,2,1,1, , , ,2,10
36073,6,1,1, , , , ,7
36074, ,1,1, , , , ,8
36075,2,1,1, , , , ,10
36076,6,1,1, , , , ,10
36077,7,2, ,2,2,2, ,12
36078,10,1,1, , , , ,10
36079,9,1,1, , , , ,11
36080,1,1,1, , , , ,3
36081,5,1,1, , , , ,8
36082,1,2, ,2,2,2, ,4
36083, ,1,1, , , , ,10
36084,1,1,1, , , , ,8
36085,4,1,1, , , , ,13
36086,3,1,1, , , , ,8
36087,8,1,1, , , , ,12
36088,5,1,1, , , , ,7
36089,10,1,2, , , , ,4
36090,7,1,1, , , , ,8
36091,4,1,1, , , , ,7
36092,9,1,1, , , , ,10
36093, ,1,2, , , , ,12
36094,6,1,1, , , , ,8
36095,5,1,1, , , , ,10
36096, ,1,1, , , , ,8
36097,7,1,1, , , , ,11
36098,5,1,1, , , ,4,7
36099,7,1,1, , , ,16,11
36100, ,1,1, , , , ,2
36101,8,1,1, , , , ,12
36102,9,1,1, , , ,4,8
36103,7,1,1, , , , ,12
36104, ,1,1, , , , ,10
36105,4,1,1, , , , ,10
36106,10,1,1, , , , ,7
36107,3,1,1, , , , ,11
36108, ,1,1, , , , ,8
36109,4,1,1, , , , ,14
36110, ,1,1, , , , ,8
36111,3,1,1, , , , ,8
36112,2,1,1, , , , ,8
36113,5,1,1, , , , ,8
36114, ,1,1, , , ,6,7
36115, ,1,1, , , , ,10
36116,10,1,1, , , , ,10
36117,4,1,1, , , , ,12
36118, ,9, ,9,9,9, ,11
36119,5,1,1, , , , ,8
36120,8,1,1, , , , ,8
36121,4,1,1, , , , ,8
36122,9,1,1, , , , ,10
36123,5,1,1, , , , ,6
36124,6,1,1, , , ,3,7
36125, ,1,1, , , , ,8
36126,7,1,1, , , , ,8
36127, ,1,1, , , , ,9
36128,4,1,1, , , ,6,10
36129,10,1,1, , , , ,12
36130,99,9, ,9,9,9, ,8
36131,7,1,1, , , , ,8
36132,10,1,1, , , , ,14
36133,4,1,1, , , , ,6
36134,2,2, ,1,2,2,15,12
36135, ,1,1, , , , ,12
36136, ,1,1, , , , ,8
36137,5,1,1, , , , ,12
36138,6,1,1, , , , ,14
36139,3,1,1, , , , ,10
36140,10,1,2, , , , ,8
36141,8,1,1, , , , ,7
36142,10,1,1, , , , ,12
36143,3,1,1, , , , ,8
36144,4,1,1, , , , ,12
36145,4,1,1, , , , ,10
36146,10,1,1, , , , ,8
36147,9,1,1, , , , ,9
36148,6,1,1, , , , ,12
36149,9,1,1, , , , ,10
36150, ,1,1, , , , ,13
36151,10,1,2, , , , ,9
36152,10,1,2, , , , ,8
36153,4,1,2, , , , ,12
36154,6,1,1, , , , ,14
36155,10,1,1, , , , ,10
36156, ,1,1, , , , ,12
36157, ,1,1, , , , ,7
36158, ,1,1, , , , ,1
36159,3,1,1, , , , ,11
36160,6,1,1, , , ,4,11
36161,10,1,1, , , , ,8
36162,4,1,1, , , , ,10
36163, ,1,1, , , , ,7
36164, ,1,1, , , , ,7
36165,10,1,2, , , , ,10
36166,5,1,1, , , , ,7
36167,10,1,1, , , ,5,8
36168,3,1,1, , , , ,14
36169,10,1,1, , , , ,8
36170,9,1,1, , , , ,13
36171,9,1,1, , , , ,8
36172,6,1,2, , , , ,10
36173, ,1,2, , , , ,6
36174,6,1,1, , , ,2,13
36175,6,1,1, , , ,11,8
36176,2,1,1, , , ,14,10
36177,10,1,1, , , ,3,12
36178,1,1,1, , , ,11,10
36179,99,1,1, , , ,14,7
36180,1,1,2, , , , ,6
36181,6,1,1, , , , ,10
36182, ,1,1, , , , ,7
36183,7,1,1, , , , ,7
36184,1,1,1, , , ,11,5
36185,5,1,1, , , ,10,10
36186,9,1,1, , , ,15,12
36187, ,1,1, , , ,10,10
36188,5,1,1, , , , ,10
36189,4,1,1, , , , ,12
36190,6,1,1, , , ,5,10
36191,1,1,1, , , , ,4
36192,5,1,1, , , ,7,10
36193,5,1,1, , , ,4,13
36194,7,1,2, , , , ,8
36195,9,1,1, , , , ,12
36196,1,1,1, , , , ,8
36197, ,1,1, , , , ,11
36198,99,1,1, , , ,9,8
36199,3,1,1, , , , ,14
36200,6,1,1, , , , ,10
36201,3,1,1, , , , ,10
36202,9,1,1, , , , ,10
36203,5,1,1, , , ,6,8
36204,10,1,1, , , , ,4
36205,2,1,2, , , , ,10
36206, ,1,1, , , ,4,10
36207,7,1,2, , , , ,10
36208,10,1,1, , , ,17,8
36209,4,1,1, , , , ,13
36210,9,1,1, , , , ,10
36211,9,1,2, , , , ,9
36212, ,1,1, , , , ,10
36213,3,1,1, , , , ,11
36214,3,1,1, , , , ,10
36215,1,1,2, , , , ,8
36216,9,2, ,1,1,2, ,8
36217,6,1,1, , , , ,11
36218, ,1,1, , , , ,10
36219,1,1,1, , , , ,10
36220,5,1,1, , , , ,8
36221,1,1,1, , , , ,12
36222,2,1,1, , , , ,14
36223,10,1,1, , , , ,10
36224, ,1,1, , , , ,6
36225,6,1,1, , , , ,8
36226,7,1,1, , , , ,7
36227,4,1,1, , , ,12,8
36228,8,1,1, , , , ,10
36229, ,1,1, , , , ,6
36230,10,1,1, , , , ,13
36231,5,1,1, , , ,8,12
36232,7,1,1, , , , ,12
36233,10,1,1, , , , ,8
36234,2,1,2, , , , ,10
36235,10,1,1, , , , ,11
36236,9,1,2, , , , ,6
36237,4,1,1, , , , ,8
36238,9,1,2, , , , ,7
36239,9,1,1, , , , ,13
36240,1,1,2, , , , ,10
36241,4,1,1, , , , ,10
36242,10,1,1, , , , ,8
36243,1,1,1, , , ,16,8
36244,4,1,1, , , , ,13
36245,6,1,1, , , , ,8
36246,3,1,1, , , , ,14
36247,5,1,2, , , , ,11
36248,3,1,1, , , ,6,10
36249,5,2, ,1,2,2, ,12
36250,1,2, ,2,2,2, ,8
36251,10,1,2, , , , ,11
36252,2,1,1, , , , ,10
36253, ,1,1, , , , ,13
36254,7,2, ,1,2,2, ,7
36255, ,1,1, , , , ,3
36256,3,1,1, , , , ,12
36257,10,1,1, , , , ,12
36258,7,1,1, , , , ,8
36259,10,1,2, , , , ,8
36260,3,1,1, , , , ,8
36261, ,1,1, , , , ,3
36262,10,1,2, , , , ,12
36263, ,9, ,9,9,9, ,4
36264,3,1,1, , , , ,10
36265,8,1,1, , , , ,11
36266,3,1,2, , , , ,14
36267,3,1,1, , , , ,12
36268,5,1,1, , , , ,8
36269, ,1,1, , , , ,10
36270,10,2, ,2,2,2, ,3
36271,7,1,1, , , , ,8
36272,3,1,1, , , , ,10
36273,3,1,1, , , , ,8
36274, ,1,1, , , ,15,12
36275,10,1,1, , , ,99,8
36276,4,1,1, , , ,12,8
36277, ,1,1, , , , ,8
36278,3,1,1, , , , ,8
36279,9,1,1, , , ,16,8
36280,4,1,1, , , , ,8
36281,1,1,1, , , , ,7
36282,6,1,1, , , ,99,11
36283,8,1,1, , , , ,10
36284,3,1,1, , , , ,10
36285,6,1,1, , , , ,12
36286, ,1,1, , , , ,4
36287, ,1,1, , , , ,6
36288,7,1,1, , , , ,8
36289,3,2, ,2,2,2, ,4
