,S2AQ21A,S1Q2A,S1Q2B,S1Q2C1,S1Q2C3,S1Q2C4,S1Q2E,S1Q6A
402, ,1,1, , , , ,7
403, ,1,2, , , , ,7
404,3,1,1, , , , ,10
405,1,1,1, , , ,8,8
406, ,1,1, , , , ,7
407,1,1,1, , , ,0,7
408,3,1,1, , , , ,13
409,5,1,1, , , , ,14
410,1,1,1, , , , ,10
411,1,1,1, , , , ,7
412,8,1,1, , , ,2,9
413,4,1,1, , , ,2,8
414, ,1,1, , , , ,8
415,2,1,1, , , ,5,8
416,9,1,1, , , , ,10
417,6,1,1, , , ,1,9
418,10,1,1, , , , ,7
419,6,1,2, , , , ,8
420, ,1,1, , , , ,3
421,3,1,2, , , , ,3
422,10,1,1, , , ,8,12
423,6,1,1, , , , ,6
424,10,1,1, , , , ,13
425,4,1,1, , , , ,10
426,7,1,1, , , ,16,8
427,1,2, ,2,2,2, ,11
428,5,1,1, , , , ,12
429,1,1,1, , , , ,11
430,6,1,2, , , , ,8
431,3,1,1, , , , ,10
432,9,1,1, , , , ,6
433,6,1,1, , , ,10,8
434,2,1,1, , , , ,13
435, ,1,2, , , , ,11
436, ,1,1, , , , ,8
437, ,1,1, , , , ,1
438,1,1,1, , , , ,6
439,2,1,2, , , , ,11
440,1,1,2, , , , ,4
441,10,2, ,2,2,2, ,7
442,6,1,1, , , , ,10
443,3,1,2, , , , ,8
444,10,1,1, , , , ,11
445,9,1,1, , , , ,8
446,7,1,2, , , , ,11
447,3,1,1, , , , ,12
448, ,1,1, , , , ,11
449,3,1,2, , , , ,9
450, ,1,1, , , ,14,8
451,5,1,1, , , , ,11
452,1,1,1, , , ,9,10
453,2,1,1, , , , ,12
454,6,1,1, , , ,4,10
455,3,1,1, , , , ,14
456,1,1,1, , , , ,8
457,3,1,1, , , , ,14
458,4,1,1, , , , ,14
459,9,1,2, , , , ,7
460, ,1,2, , , , ,11
461,7,1,1, , , , ,13
462,10,1,1, , , , ,14
463,3,1,1, , , , ,11
464, ,1,1, , , , ,7
465, ,2, ,2,2,2, ,6
466,3,1,1, , , , ,10
467,3,1,2, , , , ,14
468,8,1,1, , , , ,8
469,3,1,1, , , , ,13
470,1,1,1, , , , ,12
471,9,1,1, , , ,6,10
472,4,1,1, , , , ,14
473,7,1,1, , , , ,10
474, ,1,1, , , , ,8
475,8,1,2, , , , ,10
476,6,1,2, , , , ,7
477, ,1,2, , , , ,8
478,10,1,1, , , , ,10
479,2,1,2, , , , ,6
480,8,1,1, , , , ,10
481,4,1,1, , , , ,11
482, ,1,1, , , , ,7
483,9,1,1, , , , ,8
484,9,1,1, , , , ,12
485,6,1,1, , , , ,10
486,10,1,1, , , ,9,10
487, ,1,1, , , , ,14
488,8,1,2, , , , ,8
489,2,1,1, , , , ,11
490,5,1,1, , , , ,6
491,4,1,1, , , ,5,4
492,5,1,1, , , , ,9
493,1,1,1, , , , ,8
494, ,1,1, , , , ,12
495,1,1,1, , , , ,7
496,1,1,1, , , ,0,7
497,2,1,1, , , , ,9
498,4,1,1, , , ,7,8
499,10,1,1, , , , ,6
500,5,1,2, , , , ,12
501,9,1,1, , , , ,10
502,4,1,2, , , , ,11
503,2,1,1, , , ,6,12
504,6,1,1, , , , ,10
505,1,1,1, , , , ,10
506, ,1,1, , , ,12,7
507,4,1,1, , , , ,8
508,2,1,1, , , ,7,8
509,9,1,1, , , , ,8
510,1,1,1, , , , ,10
511,99,1,2, , , , ,6
512,1,1,1, , , , ,11
513, ,1,1, , , , ,11
514,10,1,1, , , , ,14
515,6,2, ,2,2,2, ,3
516,1,1,2, , , , ,10
517, ,1,1, , , ,1,7
518,9,1,1, , , ,2,11
519, ,1,1, , , , ,6
520, ,1,1, , , ,7,1
521,1,1,1, , , , ,8
522,1,1,1, , , ,4,10
523,6,1,2, , , , ,7
524, ,1,1, , , ,3,3
525,7,1,1, , , , ,9
526, ,1,2, , , , ,8
527, ,1,1, , , , ,8
528,6,1,1, , , ,13,14
529,9,1,2, , , , ,7
530,6,1,1, , , ,7,13
531,10,1,1, , , , ,8
532,2,1,1, , , , ,14
533, ,1,1, , , , ,10
534, ,1,1, , , , ,8
535,10,1,2, , , , ,7
536,5,1,1, , , , ,11
537,7,1,1, , , ,4,13
538,1,1,1, , , , ,10
539,6,1,1, , , ,9,10
540,4,1,1, , , , ,6
541,1,1,2, , , , ,7
542,4,1,1, , , , ,5
543,7,1,1, , , , ,7
544,1,1,1, , , ,16,12
545,4,1,1, , , , ,12
546,3,1,1, , , , ,13
547,1,1,2, , , , ,11
548,1,1,1, , , , ,14
549,10,1,2, , , , ,10
550,4,1,1, , , , ,10
551,6,1,1, , , , ,14
552,2,1,1, , , ,3,10
553, ,1,1, , , , ,4
554, ,1,1, , , , ,14
555,10,1,1, , , , ,13
556,10,1,1, , , , ,14
557,9,1,1, , , , ,8
558,1,1,1, , , , ,10
559,2,1,1, , , ,9,11
560,4,1,2, , , , ,8
561,1,1,9, , , , ,8
562,10,1,1, , , , ,7
563,10,1,1, , , , ,7
564,1,1,1, , , ,16,10
565,10,1,1, , , , ,13
566,2,1,1, , , , ,9
567,1,1,1, , , ,10,10
568,4,1,2, , , , ,11
569,4,1,2, , , , ,12
570, ,1,1, , , , ,8
571,10,1,1, , , , ,9
572,4,1,1, , , , ,12
573,1,1,1, , , , ,14
574,1,1,2, , , , ,8
575,5,1,1, , , ,11,7
576,10,1,1, , , , ,11
577,3,1,1, , , , ,11
578,9,1,1, , , , ,10
579,4,1,1, , , ,2,8
580, ,2, ,2,2,2, ,8
581,1,1,2, , , , ,14
582,5,1,1, , , , ,12
583,5,1,2, , , , ,10
584, ,2, ,2,2,2, ,4
585,1,1,1, , , ,9,10
586,9,1,1, , , , ,12
587,5,1,1, , , ,6,6
588, ,1,1, , , , ,7
589,2,1,1, , , , ,11
590, ,1,1, , , ,15,8
591,6,1,1, , , , ,8
592,7,1,1, , , ,15,14
593, ,1,1, , , , ,6
594,1,1,1, , , ,6,12
595,4,1,1, , , ,7,14
596,1,1,1, , , , ,7
597,1,1,1, , , , ,7
598, ,2, ,2,2,2, ,4
599,10,1,1, , , , ,10
600,5,1,1, , , , ,12
601,10,1,1, , , , ,9
602,9,1,1, , , , ,12
603,7,1,1, , , , ,12
604,4,1,1, , , , ,12
605,10,1,1, , , , ,9
606,10,1,1, , , , ,8
607,3,1,1, , , , ,10
608,6,1,1, , , , ,13
609,6,1,1, , , , ,7
610, ,2, ,2,2,2, ,9
611,1,1,2, , , , ,10
612,2,1,1, , , , ,10
613,10,1,1, , , ,2,7
614, ,1,1, , , , ,10
615,2,1,1, , , ,17,9
616,1,1,1, , , , ,8
617, ,1,1, , , , ,12
618,5,1,1, , , , ,10
619, ,1,1, , , , ,8
620, ,1,1, , , , ,4
621,3,1,1, , , , ,8
622,4,1,1, , , ,16,7
623, ,1,1, , , , ,8
624,8,1,1, , , , ,8
625, ,1,1, , , , ,9
626,9,1,1, , , , ,8
627,9,1,1, , , , ,10
628,2,1,1, , , ,11,8
629,7,1,1, , , , ,12
630,4,1,1, , , ,7,12
631,9,1,1, , , ,8,10
632,6,1,2, , , , ,9
633,8,1,1, , , ,5,13
634, ,1,1, , , , ,4
635,3,1,1, , , , ,1
636,9,1,1, , , , ,12
637,99,1,9, , , , ,1
638,1,1,1, , , ,4,10
639,2,1,1, , , , ,12
640,3,1,1, , , , ,10
641,7,1,1, , , , ,11
642,10,1,1, , , ,1,8
643,1,1,1, , , , ,4
644,10,1,1, , , , ,8
645,5,1,1, , , , ,12
646, ,1,2, , , , ,7
647, ,1,1, , , , ,12
648,2,1,1, , , , ,10
649,1,1,2, , , , ,8
650,6,1,1, , , , ,12
651, ,1,1, , , , ,11
652,1,1,1, , , , ,14
653,9,1,1, , , , ,4
654, ,1,2, , , , ,8
655,4,1,1, , , , ,12
656,1,1,1, , , , ,13
657,6,1,1, , , , ,12
658,5,1,1, , , , ,10
659,3,1,1, , , , ,13
660,4,1,1, , , , ,9
661, ,1,1, , , , ,11
662,4,1,1, , , ,8,12
663, ,2, ,2,2,2, ,1
664,5,2, ,2,2,1, ,9
665,7,1,1, , , , ,12
666,3,1,1, , , ,5,9
667, ,1,1, , , , ,13
668,8,1,1, , , , ,8
669,10,1,2, , , , ,4
670,10,1,1, , , , ,12
671, ,1,1, , , , ,8
672,10,1,1, , , , ,8
673,2,1,1, , , , ,5
674,5,1,1, , , , ,12
675,10,1,1, , , ,6,8
676,3,1,1, , , , ,12
677,5,1,1, , , , ,11
678,9,1,1, , , , ,7
679,7,1,1, , , , ,11
680,9,2, ,2,2,2, ,8
681,4,1,2, , , , ,11
682,9,1,1, , , , ,8
683,3,1,1, , , , ,14
684,1,1,1, , , , ,14
685,5,1,2, , , , ,2
686,3,1,1, , , , ,13
687,6,1,1, , , , ,11
688, ,1,1, , , , ,7
689, ,1,1, , , , ,6
690,10,1,1, , , ,12,8
691,3,1,1, , , ,13,6
692,6,1,1, , , , ,11
693,10,1,1, , , , ,12
694,9,1,1, , , , ,14
695,9,1,1, , , , ,5
696,9,1,1, , , , ,8
697,2,1,1, , , , ,7
698,10,1,1, , , , ,12
699,8,1,1, , , , ,12
700,4,1,1, , , , ,11
701,1,1,1, , , , ,8
702,10,1,2, , , , ,4
703,4,1,1, , , , ,14
704,2,1,1, , , , ,12
705,4,1,1, , , , ,8
706,6,1,1, , , , ,12
707,4,1,1, , , , ,8
708,9,1,1, , , , ,8
709,99,1,1, , , ,10,8
710,1,1,1, , , , ,11
711,10,1,1, , , , ,8
712,6,1,1, , , , ,10
713,4,1,1, , , , ,14
714,5,1,1, , , , ,4
715,5,1,2, , , , ,8
716,7,1,1, , , , ,8
717,10,1,1, , , ,10,7
718,3,1,1, , , , ,8
719,10,2, ,2,2,2, ,4
720,4,1,2, , , , ,8
721,1,1,2, , , , ,8
722,6,1,1, , , , ,8
723,10,2, ,2,2,2, ,7
724, ,2, ,2,2,2, ,8
725,5,2, ,2,2,2, ,10
726,4,1,1, , , ,4,8
727,9,1,1, , , , ,7
728,9,1,1, , , , ,7
729, ,1,2, , , , ,8
730, ,1,1, , , , ,1
731,99,2, ,2,2,2, ,6
732, ,1,1, , , ,12,7
733,10,1,2, , , , ,7
734, ,1,2, , , , ,10
735,1,1,2, , , , ,1
736, ,2, ,2,2,2, ,12
737,1,1,2, , , , ,8
738,10,1,1, , , , ,8
739,10,1,1, , , , ,8
740,1,1,1, , , , ,12
741, ,1,1, , , , ,14
742, ,1,1, , , , ,8
743,4,2, ,2,2,2, ,10
744,4,1,1, , , , ,10
745,2,1,1, , , , ,7
746, ,1,1, , , ,7,7
747,6,1,1, , , , ,12
748,9,1,1, , , ,14,7
749,9,1,1, , , , ,8
750, ,1,9, , , , ,12
751, ,1,1, , , , ,11
752, ,1,1, , , , ,5
753,5,1,1, , , , ,8
754,10,1,1, , , , ,10
755,5,1,1, , , , ,4
756,5,1,1, , , , ,6
757,3,1,1, , , , ,8
758,6,1,1, , , ,6,10
759, ,1,2, , , , ,12
760,4,1,1, , , , ,8
761,5,1,1, , , ,12,13
762, ,1,2, , , , ,4
763,1,1,1, , , ,8,12
764, ,1,1, , , , ,14
765,3,1,1, , , , ,14
766,4,1,1, , , , ,10
767, ,1,1, , , ,4,4
768,5,1,1, , , , ,7
